,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Santa Rosa,PH,78.12,light rain,14.3122,121.1114,JARS RESORT
18,Saint-Pierre,RE,74.88,broken clouds,-21.3393,55.4781,Tropic Hotel
30,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
32,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,Hotel del Valle
34,Makakilo City,US,83.61,clear sky,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
38,Rikitea,PF,72.72,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
39,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti International Resort
47,Kapaa,US,82.72,clear sky,22.0752,-159.319,Pono Kai Resort
51,Hithadhoo,MV,80.76,broken clouds,-0.6,73.0833,Pebbles Inn
53,Ambilobe,MG,76.32,light rain,-13.2,49.05,Hôtel National
54,Atuona,PF,77.9,broken clouds,-9.8,-139.0333,Pearl Resort
58,Santa Maria,BR,87.1,few clouds,-29.6842,-53.8069,Hotel Morotin
60,Sao Filipe,CV,75.92,scattered clouds,14.8961,-24.4956,Bela Vista
62,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,Le Baril
71,Camocim,BR,80.46,moderate rain,-2.9022,-40.8411,Hotel Dunas
78,Jawhar,SO,76.68,broken clouds,2.7809,45.5005,Hotel Subiye
80,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
81,Hirara,JP,72.68,overcast clouds,24.8,125.2833,古謝そば屋
89,Nicoya,CR,77.77,overcast clouds,10.1483,-85.452,Hotel marianela
93,Musoma,TZ,70.32,overcast clouds,-1.5,33.8,New Peninsula Hotel
96,Portobelo,PA,81.05,moderate rain,9.55,-79.65,Luna Llena Hostal
102,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
105,Cidreira,BR,71.08,overcast clouds,-30.1811,-50.2056,Hotel Castelo
110,Polewali,ID,76.01,overcast clouds,-3.4324,119.3435,hotel perdana
111,Omboue,GA,77.14,overcast clouds,-1.5746,9.2618,Georges Faustin Aurat
112,Lorengau,PG,81.77,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
117,Maracana,BR,77.67,overcast clouds,-0.7667,-47.45,Pousada & Restaurante Rola Papo
123,Meulaboh,ID,75.18,overcast clouds,4.1363,96.1285,Hotel Meuligou
131,Port Blair,IN,80.37,overcast clouds,11.6667,92.75,Andaman Ocean Breeze
135,Pontes E Lacerda,BR,73.92,overcast clouds,-15.2261,-59.3353,Hotel Avenida
137,Calama,CL,72.09,clear sky,-22.4667,-68.9333,Apart Hotel Geotel Calama
138,Cayenne,GF,80.64,scattered clouds,4.9333,-52.3333,Central Hôtel
144,Vanimo,PG,77.45,overcast clouds,-2.6741,141.3028,CBC Guesthouse
145,Pisco,PE,73.45,clear sky,-13.7,-76.2167,La Portada
158,Cabo San Lucas,MX,82.62,few clouds,22.8909,-109.9124,Comfort Rooms
162,Bata,GQ,79.34,overcast clouds,1.8639,9.7658,Hotel Plaza ****
168,Georgetown,MY,80.24,few clouds,5.4112,100.3354,Page 63 hostel
179,San Rafael,AR,83.86,clear sky,-34.6177,-68.3301,Hotel Regional
180,Phuket,TH,86.09,few clouds,8.0,98.25,Amanpuri
184,Isangel,VU,86.11,scattered clouds,-19.55,169.2667,Tanna Lodge
189,Junin,AR,71.89,overcast clouds,-34.5838,-60.9433,Central Hotel
191,Piacabucu,BR,74.95,overcast clouds,-10.4056,-36.4344,O Leão
193,Igunga,TZ,75.65,overcast clouds,-4.2833,33.8833,Simba Garden Lodge
200,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Tara-Mé
204,Kapit,MY,73.22,overcast clouds,2.0167,112.9333,Haip
219,Axim,GH,79.05,overcast clouds,4.8699,-2.2405,Axim Beach Hotel
227,Bengkulu,ID,74.17,overcast clouds,-3.8004,102.2655,Dena Hotel
228,Bhatkal,IN,74.8,few clouds,13.9667,74.5667,Sree Mahasati Store And Tea Hotel
229,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
231,Chake Chake,TZ,76.6,broken clouds,-5.2459,39.7666,Annex Pemba Hotel
239,Rosita,NI,77.72,overcast clouds,13.9268,-84.4032,Hotel Ensueño
242,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Deyna's City Inn
245,Santo Domingo,DO,78.44,moderate rain,18.5001,-69.9886,Hotel Villa Campo
247,Bodden Town,KY,86.0,few clouds,19.2833,-81.25,Turtle Nest Inn
252,Mahibadhoo,MV,80.35,scattered clouds,3.7833,72.9667,Coral View Inn
255,Sucua,EC,84.94,moderate rain,-2.4667,-78.1667,HOTEL BARZA
260,Farafangana,MG,72.81,overcast clouds,-22.8167,47.8333,Le Concombre Masqué
261,Manokwari,ID,77.36,overcast clouds,-0.8667,134.0833,Hotel Arfak
263,Amuntai,ID,73.53,moderate rain,-2.4177,115.2494,Grand Balqis Hotel
264,Dong Hoi,VN,76.35,overcast clouds,17.4833,106.6,Nhà hàng Amor Palace
266,Natal,BR,81.25,few clouds,-5.795,-35.2094,Natal Palace Hotel
270,San Cristobal,VE,71.78,scattered clouds,7.7669,-72.225,Terra Sur
277,Hilo,US,86.29,scattered clouds,19.7297,-155.09,Dolphin Bay Hotel
287,Rio Grande,BR,78.91,few clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
290,Miandrivazo,MG,77.94,broken clouds,-19.5167,45.4667,Baobab
291,Souillac,MU,73.78,light rain,-20.5167,57.5167,Hotel SkylineInn
298,Taungdwingyi,MM,72.86,clear sky,20.0167,95.55,Aye Mya Sandar
299,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,losmen Surya
303,Mercedes,AR,74.64,overcast clouds,-34.6515,-59.4307,Gran Hotel Mercedes
305,Salinopolis,BR,80.13,overcast clouds,-0.6136,-47.3561,Hotel Salinópolis
309,Quelimane,MZ,71.55,few clouds,-17.8786,36.8883,Mabassa
310,Namibe,AO,70.65,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
314,Chuy,UY,73.27,clear sky,-33.6971,-53.4616,Alerces
315,Juba,SS,78.04,overcast clouds,4.8517,31.5825,Hotel Juba Regency
327,San Luis,AR,77.5,broken clouds,-33.295,-66.3356,Hotel Dos Venados
330,Kita,ML,78.78,overcast clouds,13.0349,-9.4895,Hotel Chats Rouges
337,Cap Malheureux,MU,74.46,scattered clouds,-19.9842,57.6142,Cape Garden
338,Quatre Cocos,MU,74.08,light rain,-20.2078,57.7625,Horisun
339,Beberibe,BR,78.71,broken clouds,-4.1797,-38.1306,Pousada Ibitu
346,Karratha,AU,80.89,light rain,-20.7377,116.8463,Karratha International Hotel
350,Pochutla,MX,87.82,scattered clouds,15.7432,-96.4661,Hotel El Patio
358,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Hôtel 6500 CFA
360,The Valley,AI,80.74,scattered clouds,18.217,-63.0578,CeBlue
361,Laguna De Perlas,NI,75.29,overcast clouds,12.3429,-83.6712,Hotelito Bella Vista;Western Union
362,Atar,MR,71.98,clear sky,20.5169,-13.0499,فندق سكليل
366,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Paladino
370,Vao,NC,77.68,overcast clouds,-22.6667,167.4833,Nataiwatch
374,Mahebourg,MU,74.25,scattered clouds,-20.4081,57.7,Grand Bel Air
376,Itarema,BR,79.72,overcast clouds,-2.9248,-39.9167,Pousada Oásis
377,Touros,BR,79.05,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
386,Pitimbu,BR,81.19,overcast clouds,-7.4706,-34.8086,Pousada Brisa Mar
391,Puerto Escondido,MX,83.23,thunderstorm,15.85,-97.0667,Hotel Barlovento
412,Fomboni,KM,79.12,clear sky,-12.28,43.7425,Mohéli La Plage
416,Kavieng,PG,82.83,scattered clouds,-2.5744,150.7967,Kavieng Hotel
417,Maxixe,MZ,70.77,light rain,-23.8597,35.3472,Hotel Herry
420,Vila Velha,BR,76.95,moderate rain,-20.3297,-40.2925,Hotel Prainha
422,Bubaque,GW,81.84,scattered clouds,11.2833,-15.8333,Chez Julio
423,Alappuzha,IN,78.01,broken clouds,9.49,76.3264,Unnis Hotel
424,Ko Samui,TH,80.33,overcast clouds,9.5357,99.9357,Nathon Residence
427,Beruwala,LK,75.87,overcast clouds,6.4788,79.9828,Villa@113
428,Lingao,CN,70.99,overcast clouds,19.9103,109.6859,小城之春假日酒店
433,Kilindoni,TZ,79.48,scattered clouds,-7.9139,39.6668,Ibizza Inn
434,Prado,BR,76.87,light rain,-17.3411,-39.2208,Pousada Recanto do Prado
435,Tomatlan,MX,82.96,few clouds,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
436,Gambela,ET,76.87,scattered clouds,8.25,34.5833,Grand Hotel
437,Kalmunai,LK,76.69,overcast clouds,7.4167,81.8167,Saji new food
439,Moron,AR,77.99,overcast clouds,-34.6534,-58.6198,La Esquina
441,Eyl,SO,77.32,few clouds,7.9803,49.8164,فندق ايل دابي
444,Santiago,CL,78.28,few clouds,-33.4569,-70.6483,apart arturo prat
446,Wahiawa,US,81.79,few clouds,21.5028,-158.0236,The Inn At Schofield
447,Hualmay,PE,70.72,broken clouds,-11.0964,-77.6139,Hotel Mi Choacan
449,Kimbe,PG,80.94,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
451,Catalina Foothills,US,76.3,few clouds,32.2979,-110.9187,Hacienda Del Sol Guest Ranch Resort
458,Imbituba,BR,74.86,moderate rain,-28.24,-48.6703,Silvestre Praia Hotel
461,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
462,Batticaloa,LK,77.59,overcast clouds,7.7102,81.6924,Lake View Hotel
466,Sao Jose Da Coroa Grande,BR,77.65,overcast clouds,-8.8978,-35.1478,Hotel do Sol
472,Inhambane,MZ,71.92,light rain,-23.865,35.3833,Hotel de Inhambane
473,Macas,EC,83.95,broken clouds,-2.3167,-78.1167,Nivel 5
474,Grand Gaube,MU,74.37,scattered clouds,-20.0064,57.6608,Coco Villa
476,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,The Adventures Inn
484,Sorong,ID,79.25,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
486,Kahului,US,81.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
489,Caibarien,CU,85.32,scattered clouds,22.5206,-79.4669,Restaurante Hostal El Coliseo
490,La Romana,DO,82.76,few clouds,18.4273,-68.9728,Hotel Frano
496,Los Andes,CL,75.0,scattered clouds,-32.8337,-70.5983,Hotel Gloria
499,Bamako,ML,75.61,overcast clouds,12.65,-8.0,Grand Hotel
501,Antalaha,MG,71.11,clear sky,-14.9003,50.2788,Hôtel Florida
504,West Bay,KY,86.07,few clouds,19.3667,-81.4167,Bonnie's Arch
507,Aflao,TG,80.67,overcast clouds,6.116,1.1914,Liberty Hotel
523,Hambantota,LK,73.74,overcast clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
526,Labuan,MY,77.36,few clouds,5.2767,115.2417,Labuan Avenue Hotel
531,Tabuk,PH,73.72,broken clouds,17.4189,121.4443,Davidson Hotel
532,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
536,Faanui,PF,80.2,few clouds,-16.4833,-151.75,Oa Oa Lodge
539,El Tigre,VE,78.17,scattered clouds,8.8875,-64.2454,Hotel La Llovizna
543,Ambon,ID,78.24,scattered clouds,-3.6954,128.1814,Hotel Hero
545,Trelew,AR,72.54,few clouds,-43.249,-65.3051,Patagonia Suites & Apart
548,Kununurra,AU,71.58,overcast clouds,-15.7667,128.7333,Kununurra Country Club Resort
552,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,Vanira Lodge
553,San Pedro,PH,77.36,light rain,14.35,121.0167,Hotel Takara
554,Gunjur,GM,77.07,haze,13.2019,-16.7339,Footsteps Eco Lodge
558,Maragogi,BR,77.83,overcast clouds,-9.0122,-35.2225,Pousada Mariluz
568,Bac Lieu,VN,79.07,overcast clouds,9.285,105.7244,Khách sạn Bạc Liêu
576,Ambanja,MG,73.62,moderate rain,-13.6833,48.45,Hôtel Salama Rose
579,Lazaro Cardenas,MX,82.04,clear sky,17.9583,-102.2,Hotel Sol del Pacífico
581,Ternate,ID,80.91,overcast clouds,0.8,127.4,Boulivard ternate
